"stateHeads__name","stateHeads__country","stateHeads__office","stateHeads__mandate_start","stateHeads__mandate_end","stateHeads__term_length","stateHeads__head_of_state_or_gov","stateHeads__description","stateHeads__img","errorHeads"
"Julia Gillard","Australia","Prime Minister","24 June 2010","27 June 2013","3 years, 3 days","Head of government","Julia Eileen Gillard AC (born 29 September 1961) is an Australian former politician who served as the 27th Prime Minister of Australia and Leader of the Australian Labor Party from 2010 to 2013. She was previously the 13th Deputy Prime Minister of Australia from 2007 until 2010 and held the cabinet positions of Minister for Education, Minister for Employment and Workplace Relations and Minister for Social Inclusion from 2007 to 2010. She was the first and to date only woman to hold the positions of Deputy Prime Minister, Prime Minister and leader of a major party in Australia.","//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Julia_Gillard_2010.jpg/220px-Julia_Gillard_2010.jpg",""
"Iveta Radičová","Slovakia","Prime Minister","8 July 2010","4 April 2012","1 year, 271 days","Head of government","Iveta Radičová (Slovak pronunciation: [ˈiʋɛta ˈɾaɟitʃɔʋaː]; born 7 December 1956) served as the first woman Prime Minister of Slovakia from 2010 to 2012. She led a coalition government, in which she also briefly held the post of Minister of Defence in the last five months of the coalition. Previously she had served as Minister of Labour from 2005 to 2006 in the second Dzurinda government.","//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Iveta_Radi%C4%8Dov%C3%A1_%28jan._2012%29.jpg/220px-Iveta_Radi%C4%8Dov%C3%A1_%28jan._2012%29.jpg",""
"Dilma Rousseff","Brazil","President","1 January 2011","31 August 2016Suspended 12 May 2016","5 years, 243 days5 years, 132 days","Head of state and government","Dilma Vana Rousseff (Brazilian Portuguese: [ˈdʒiwmɐ ˈvɐ̃nɐ ʁuˈsɛf(i)]; born 14 December 1947) is a Brazilian economist and politician who served as the 36th president of Brazil, holding the position from 2011 until her impeachment and removal from office on 31 August 2016. She was the first woman to hold the Brazilian presidency and had previously served as Chief of Staff to former president Luiz Inácio Lula da Silva from 2005 to 2010.","//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Dilma_Rousseff_-_foto_oficial_2011-01-09.jpg/220px-Dilma_Rousseff_-_foto_oficial_2011-01-09.jpg",""
"Rosario Fernández","Peru","Prime Minister","19 March 2011","28 July 2011","131 days","*","Rosario Del Pilar Fernández Figueroa (born 1955) is a Peruvian politician, who is a former Prime Minister of Peru and Minister of Justice.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/ROSARIO_FERNANDEZ02.jpg/330px-ROSARIO_FERNANDEZ02.jpg",""
"Cissé Mariam Kaïdama Sidibé","Mali","Prime Minister","3 April 2011","22 March 2012","354 days","Head of government","Cissé Mariam Kaïdama Sidibé (born 4 January 1948) was the Prime Minister of Mali from 2011 to 2012, the first woman to be appointed to the position in the country's history. She was announced to the position by decree on 3 April 2011, replacing Modibo Sidibé. On 22 March 2012, following the suspension of the constitution in the 2012 Malian coup d'état, she was removed from office and reported to be detained by junta forces.","no image on wikipedia :(",""
"Atifete Jahjaga","Kosovo","President","7 April 2011","7 April 2016","5 years, 0 days","Head of state","Atifete Jahjaga (Albanian pronunciation: [ätɪˈfeːtɛ jähˈjɑːɡä]; born 20 April 1975) is a Kosovar politician and stateswoman who served as the third President of Kosovo.[a] She was the first female President of the Republic of Kosovo, the first non-partisan candidate and the youngest female head of state to be elected to the top office. She served as Deputy Director of the Kosovo Police, holding the rank of Major General, the most senior among women officers in Southeastern Europe.","//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Atifete_Jahjaga_-_2018_%2825839518347%29_%28cropped%29.jpg/220px-Atifete_Jahjaga_-_2018_%2825839518347%29_%28cropped%29.jpg",""
"Yingluck Shinawatra","Thailand","Prime Minister","3 July 2011","7 May 2014","2 years, 308 days","Head of government","Yingluck Shinawatra (Thai: ยิ่งลักษณ์ ชินวัตร, RTGS: Yinglak Chinnawat, pronounced [jîŋ.lák t͡ɕʰīn.nā.wát]; Serbian: Jingluk Šinavatra; born 21 June 1967), nicknamed Pou (Thai: ปู, RTGS: Pu, pronounced [pūː], meaning ""crab""), is a Thai businesswoman, politician and a member of the Pheu Thai Party who became the Prime Minister of Thailand following the 2011 election. Yingluck was Thailand's first  female Prime Minister and its youngest in over 60 years. She was removed from office on 7 May 2014 by a Constitutional Court decision.","//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Yingluck_Shinawatra%27s_Hand.jpg/128px-Yingluck_Shinawatra%27s_Hand.jpg",""
"Helle Thorning-Schmidt","Denmark","Prime Minister","3 October 2011","28 June 2015","3 years, 268 days","Head of government","Helle Thorning-Schmidt (Danish pronunciation: [hɛlə ˈtˢoɐ̯neŋ ˈsmet]; born 14 December 1966) is a retired Danish politician who served as the 26th Prime Minister of Denmark from 2011 to 2015, and Leader of the Social Democrats from 2005 to 2015. She is the first woman to hold each post. Following defeat in 2015, she announced that she would step down as both Danish Prime Minister and Social Democratic party leader. Ending her political career in April 2016, she is the chief executive of the NGO Save the Children.","//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Helle_Thorning-Schmidt_portrait.jpg/220px-Helle_Thorning-Schmidt_portrait.jpg",""
"Portia Simpson-Miller","Jamaica","Prime Minister","5 January 2012","3 March 2016","4 years, 58 days","Head of government","Portia Lucretia Simpson-Miller, ON (born 12 December 1945), is a Jamaican politician. She served as Prime Minister of Jamaica from March 2005 to September 2007 and again from 5 January 2012 to 3 March 2016. She was the leader of the People's National Party from 2005 to 2017 and the Leader of the Opposition twice, from 2007 to 2012 and from 2016 to 2017.","//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Portia_Miller_Shoot.Jpeg/220px-Portia_Miller_Shoot.Jpeg",""
"Adiato Djaló Nandigna","Guinea-Bissau","Acting Prime Minister","10 February 2012","12 April 2012","62 days","Head of government","Adiato Djaló Nandigna (born 6 November 1958) is a Guinea-Bissauan politician and a former acting Prime Minister of Guinea-Bissau. Her government was overthrown in the 2012 Guinea-Bissau coup d'état, and she was arrested by the security services in 2013. She later returned as the Minister of Defence in the 2015 cabinet of Prime Minister Carlos Correia.","no image on wikipedia :(",""
"Monique Ohsan Bellepeau","Mauritius","Acting President","31 March 2012","21 July 2012","112 days","Head of state","Agnès Monique Ohsan Bellepeau GOSK (born 1942) is a Mauritian politician and was Vice President of Mauritius from November 2010 to April 2016. She was acting President of Mauritius from 31 March 2012 to 21 July 2012 when Sir Anerood Jugnauth resigned up to the inauguration of Kailash Purryag to the office. She was again acting President from 29 May 2015 to 5 June 2015 when Kailash Purryag resigned up to the inauguration of Ameenah Gurib to the office.[citation needed]","no image on wikipedia :(",""
"Slavica Đukić Dejanović","Serbia","Acting President","5 April 2012","31 May 2012","56 days","Head of state","Slavica Đukić Dejanović (Serbian Cyrillic: Славица Ђукић Дејановић, pronounced [slâʋitsa dʑûkitɕ dɛjǎːnɔʋitɕ], born 4 July 1951) is a Serbian politician, current Minister without portfolio in the Government of Serbia, and former Minister of Health in the Government of Serbia, acting Head of State of Serbia and President of the National Assembly of Serbia, and a long-time member of the Socialist Party of Serbia.","//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Slavica_Djukic_Dejanovic_%281%29.jpg/220px-Slavica_Djukic_Dejanovic_%281%29.jpg",""
"Joyce Banda","Malawi","President","7 April 2012","31 May 2014","2 years, 54 days","Head of state and government","Joyce Hilda Banda  (née Mtila; born 12 April 1950) is a Malawian politician who was the President of Malawi from 7 April 2012 to 31 May 2014. She is the founder and leader of the People's Party, created in 2011. An educator and grassroots women's rights activist, she was Minister of Foreign Affairs from 2006 to 2009 and Vice-President of Malawi from May 2009 to April 2012.","//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/President_of_Malawi_Joyce_Banda_%288985928177%29.jpg/220px-President_of_Malawi_Joyce_Banda_%288985928177%29.jpg",""
"Park Geun-hye","South Korea","President","25 February 2013","10 March 2017Suspended 9 December 2016","4 years, 13 days3 years, 288 days","Head of state and government","Park Geun-hye (Korean: 박근혜; Hanja: 朴槿惠; RR: Bak Geun(-)hye; IPA: [pak‿k͈ɯn.hje]; often in English /ˈpɑːrk ˌɡʊn ˈheɪ/; born 2 February 1952) is a former South Korean politician who served as President of South Korea from 2013 to 2017. Park was the first woman to be President of South Korea and also the first female president popularly elected as head of state in East Asia. She was also the first South Korean president to be born after the founding of First Republic of South Korea; her predecessors were born either during the Joseon dynasty, Japanese occupation or during the post-World War II American occupation.","//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Korea_President_Park_UN_20130506_01_cropped.jpg/220px-Korea_President_Park_UN_20130506_01_cropped.jpg",""
"Alenka Bratušek","Slovenia","Prime Minister","20 March 2013","18 September 2014","1 year, 182 days","Head of government","Alenka Bratušek (pronounced [aˈleːŋka ˈbɾaːtuʃək]; born 31 March 1970) is a Slovenian public servant. She was Prime Minister of Slovenia from March 2013 until May 2014, the first woman in Slovenia to hold this position. She was president pro tempore of the Positive Slovenia party from January 2013 until April 2014. On 5 May 2014, Bratušek submitted her resignation as Prime Minister.","//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Alenka_Bratu%C5%A1ek-za_splet.jpg/220px-Alenka_Bratu%C5%A1ek-za_splet.jpg",""
"Sibel Siber","Northern Cyprus","Prime Minister","13 June 2013","2 September 2013","81 days","Head of government","Sibel Siber (born 13 December 1960) is a Turkish Cypriot politician. She served as the Prime Minister of Northern Cyprus between 13 June 2013, following the fall of the government of İrsen Küçük in a vote of no confidence, and 2 September 2013. She was the first woman to occupy this post. As of November 2015[update], Siber was the Speaker of Parliament, the Assembly of the Republic of Northern Cyprus. She was the second woman to occupy this post, after Fatma Ekenoğlu.","//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Sibel_Siber_%28cropped%29.jpg/220px-Sibel_Siber_%28cropped%29.jpg",""
"Tatiana Turanskaya","Transnistria","Prime Minister","10 June 2013","13 October 2015","2 years, 125 days","Head of government","Tatiana Mikhailovna Turanskaya (Тетяна Михайлівна Туранська; born November 20, 1972 in Odessa, Ukrainian SSR) is a Transnistrian politician and was the Prime Minister of Transnistria until 13 October 2015. She replaced Pyotr Stepanov on 10 July 2013, after he had resigned to accept a new job. On August 7, 2013 she held a meeting with Deputy Chairman of the Economic Policy, Budget and Finance Committee of the Supreme Council Andrej Kotsubenko and member of the on Security, Defense and Peacekeeping Committee of the Supreme Council Yuri Horin at which she talked about governmental issues within Slobozia District.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%A2%D1%83%D1%80%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F.jpg/330px-%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%A2%D1%83%D1%80%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F.jpg",""
"Aminata Touré","Senegal","Prime Minister","1 September 2013","8 July 2014","310 days","Head of government","Aminata Touré (born 12 October 1962) is a Senegalese politician who served as the Prime Minister of Senegal from 1 September 2013 to 4 July 2014. She was the second female Prime Minister of Senegal after Mame Madior Boye, and she previously served as Justice Minister from 2012 to 2013.","//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Aminata_Tour%C3%A9_%28cropped%29.jpg/220px-Aminata_Tour%C3%A9_%28cropped%29.jpg",""
"Erna Solberg","Norway","Prime Minister","16 October 2013","Incumbent","6 years, 73 days","Head of government","Erna Solberg (Norwegian: [ˈæːʁnɑ ˇsuːlbæʁɡ]; born 24 February 1961) is a Norwegian politician serving as Prime Minister of Norway since 2013 and Leader of the Conservative Party since May 2004. Inspired by Margaret Thatcher's ""Iron Lady"" nickname, Solberg has been given the nickname ""Iron Erna"".","//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Erna_Solberg_2015-01-20_001.jpg/220px-Erna_Solberg_2015-01-20_001.jpg",""
"Laimdota Straujuma","Latvia","Prime Minister","22 January 2014","11 February 2016","2 years, 20 days","Head of government","Laimdota Straujuma (born 24 February 1951) is a Latvian economist who was the Prime Minister of Latvia from January 2014 to February 2016. Before her tenure as Prime Minister, she served as Minister of Agriculture from 2011 to 2014. She was the first woman to serve as the head of government of the country. After her  resignation on 7 December 2015 she announced her intention to resume a seat in the Saeima.","//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Laimdota_Straujuma_2014-10-27.jpg/220px-Laimdota_Straujuma_2014-10-27.jpg",""
"Catherine Samba-Panza","Central African Republic","Acting President","23 January 2014","30 March 2016","2 years, 67 days","Head of state","Catherine Samba-Panza (born 26 June 1956) is a Central African politician who served as interim President of the Central African Republic from 2014 to 2016. She was the first woman to hold the post of head of state in that country, as well as the eighth woman in Africa to do so. Prior to becoming head of state, she was Mayor of Bangui from 2013 to 2014.","//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Catherine_Samba-Panza_2014-09-26.jpg/220px-Catherine_Samba-Panza_2014-09-26.jpg",""
"Michelle Bachelet","Chile","President","11 March 2014","11 March 2018","4 years, 0 days","Head of state and government","Verónica Michelle Bachelet Jeria (Spanish: [beˈɾonika miˈtʃel βatʃeˈle ˈxeɾja]; born 29 September 1951) is a Chilean politician who served as President of Chile from 2006 to 2010 and again from 2014 to 2018 for the Socialist Party of Chile, the first woman to occupy the position. After leaving the presidency in 2010 and while not immediately reelectable, she was appointed the first executive director of the newly created United Nations Entity for Gender Equality and the Empowerment of Women. In December 2013, Bachelet was reelected with over 62% of the vote, bettering the 54% she obtained in 2006. She was the first President of Chile to be reelected since 1932.","//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Portrait_Michelle_Bachelet.jpg/220px-Portrait_Michelle_Bachelet.jpg",""
"Marie-Louise Coleiro Preca","Malta","President","4 April 2014","4 April 2019","5 years, 0 days","Head of state","Marie-Louise Coleiro Preca, KUOM GCMG (born 7 December 1958) is a Maltese politician who served as the 9th President of Malta from 2014 to 2019. Currently, Coleiro Preca is president of Eurochild. ","//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Marie-Louise_Coleiro_Preca.jpg/220px-Marie-Louise_Coleiro_Preca.jpg",""
"Ana Jara","Peru","Prime Minister","22 July 2014","2 April 2015","254 days","*","Ethel Ana del Rosario Jara Velásquez (born May 11, 1968) is a Peruvian lawyer and politician who was Prime Minister of Peru from July 2014 until April 2015.","//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ana_Jara.jpg/220px-Ana_Jara.jpg",""
"Ewa Kopacz","Poland","Prime Minister","22 September 2014","16 November 2015","1 year, 55 days","Head of government","Ewa Bożena Kopacz (IPA: [ˈɛva ˈkɔpatʂ] (listen); born Ewa Lis on 3 December 1956) is a Polish politician and a Vice-President of the European Parliament. She was Prime Minister of Poland and Marshal of the Sejm - the first woman to have held the latter post. In addition, she was Minister of Health from November 2007 until November 2011. Kopacz has been a member of the Civic Platform since 2001. Kopacz became Prime Minister on 22 September 2014, succeeding Donald Tusk; she is the second woman to hold the office after Hanna Suchocka.[citation needed] Prior to entering politics, she was a pediatrician and a general practitioner. Her term ended on 16 November 2015.","//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ewa_Kopacz_-_Warszawa_Konwencja_PO_%28cropped%29.jpg/220px-Ewa_Kopacz_-_Warszawa_Konwencja_PO_%28cropped%29.jpg",""
"Florence Duperval Guillaume","Haiti","Acting Prime Minister","20 December 2014","16 January 2015","27 days","Head of government","Florence Duperval Guillaume, a Haitian politician, is Haiti's Minister of Public Health and Population, and was Acting Prime Minister of Haiti from 20 December 2014 to 16 January 2015","//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Florence_Duperval_Guillaume.JPG/220px-Florence_Duperval_Guillaume.JPG",""
"Kolinda Grabar-Kitarović","Croatia","President","19 February 2015","Incumbent","4 years, 312 days","Head of state","Kolinda Grabar-Kitarović (pronounced [ɡrǎbar kitǎːroʋitɕ] (listen); born 29 April 1968) is a Croatian politician and diplomat who has been the 4th and current President of Croatia since 2015. She is the first woman to be elected to the office since the first multi-party elections in 1990 and independence in 1991. At 46 years of age, she also became the youngest person to assume the presidency.","//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Kolinda_Grabar-Kitarovi%C4%87ile_%2834771463620%29.jpg/220px-Kolinda_Grabar-Kitarovi%C4%87ile_%2834771463620%29.jpg",""
"Saara Kuugongelwa","Namibia","Prime Minister","21 March 2015","Incumbent","4 years, 282 days","*","Saara Kuugongelwa-Amadhila (born 12 October 1967) is the fourth and current Prime Minister of Namibia, in office since 21 March 2015. Kuugongelwa is a member of the South West Africa People's Organization (SWAPO). She has been a member of the National Assembly of Namibia since 1995 and served as Minister of Finance from 2003 to 2015. She is the first woman to serve as Prime Minister of Namibia.","//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Saara_Kuugongelwa-Amadhila.jpg/220px-Saara_Kuugongelwa-Amadhila.jpg",""
"Monique Ohsan Bellepeau","Mauritius","Acting President","29 May 2015","5 June 2015","7 days","Head of state","Agnès Monique Ohsan Bellepeau GOSK (born 1942) is a Mauritian politician and was Vice President of Mauritius from November 2010 to April 2016. She was acting President of Mauritius from 31 March 2012 to 21 July 2012 when Sir Anerood Jugnauth resigned up to the inauguration of Kailash Purryag to the office. She was again acting President from 29 May 2015 to 5 June 2015 when Kailash Purryag resigned up to the inauguration of Ameenah Gurib to the office.[citation needed]","no image on wikipedia :(",""
"Ameenah Gurib","Mauritius","President","5 June 2015","23 March 2018","2 years, 291 days","Head of state","Bibi Ameenah Firdaus Gurib-Fakim GCSK (born 17 October 1959) is a Mauritian politician and biodiversity scientist who served as the 6th President of Mauritius from 2015 to 2018. In December 2014, she was selected to be the presidential candidate of the Alliance Lepep. After Kailash Purryag resigned on 29 May 2015, both Prime Minister Sir Anerood Jugnauth and Leader of the Opposition Paul Berenger positively welcomed her nomination, which was unanimously approved in a vote in the National Assembly.","https://upload.wikimedia.org/wikipedia/commons/6/6c/President_of_Mauritius.png",""
"Natalia Gherman","Moldova","Acting Prime Minister","22 June 2015","30 July 2015","38 days","Head of government","Natalia Snegur-Gherman (born 20 March 1969) is a Moldovan politician, who served as Minister of Foreign Affairs and European Integration and Deputy Prime Minister of Moldova from May 2013 to January 2016.","//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/NataliaGherman%CC%A0Wien.jpg/220px-NataliaGherman%CC%A0Wien.jpg",""
"Vassiliki Thanou","Greece","Acting Prime Minister","27 August 2015","21 September 2015","25 days","Head of government","Vassiliki Thanou-Christophilou (Greek: Βασιλική Θάνου-Χριστοφίλου, pronounced [vasiliˌci ˌθanu xristoˈfilu]; born 1950), also known as Vassiliki Thanou, is a Greek judge who served as caretaker Prime Minister of Greece from 27 August to 21 September 2015, in the run-up to the September 2015 legislative election. She was the first ever female Greek Prime Minister and the 184th officeholder since 1822.","//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Vassiliki_Thanou.jpg/220px-Vassiliki_Thanou.jpg",""
"Maya Parnas","Transnistria","Acting Prime Minister","13 October 2015","30 November 2015","48 days","Head of government","Maya Ivanovna Parnas (Russian: Майя Ивановна Парнас, Romanian: Maia Parnas; born 15 May 1974 in Tiraspol, Moldavian SSR) is a Transnistrian politician and was the former acting Prime Minister of Transnistria, temporarily replacing Tatiana Turanskaya, who was focusing on running in the 2015 elections.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/%D0%9C%D0%B0%D0%B9%D1%8F_%D0%9F%D0%B0%D1%80%D0%BD%D0%B0%D1%81.jpg/330px-%D0%9C%D0%B0%D0%B9%D1%8F_%D0%9F%D0%B0%D1%80%D0%BD%D0%B0%D1%81.jpg",""
"Bidhya Devi Bhandari","  Nepal","President","29 October 2015","Incumbent","4 years, 60 days","Head of state","Bidhya Devi Bhandari (Nepali: विद्या देवी भण्डारी; born 19 June 1961) is a Nepalese politician who is the current President of Nepal. She is the first woman to hold the office. She was the vice-chairperson of the Communist Party of Nepal (Unified Marxist–Leninist) and chair of the All Nepal Women Association before winning the presidential election on 28 October 2015. She was elected as President in a parliamentary vote, receiving 327 votes out of 549 and defeating Kul Bahadur Gurung. ","//upload.wikimedia.org/wikipedia/commons/thumb/1/17/Bidhya_Devi_Bhandari.jpg/220px-Bidhya_Devi_Bhandari.jpg",""
"Beata Szydło","Poland","Prime Minister","16 November 2015","11 December 2017","2 years, 25 days","Head of government","Beata Maria Szydło (Polish: [bɛˈata ˈmarja ˈʂɨdwɔ] (listen); née Kusińska [kuˈɕij̃ska]; born 15 April 1963) is a Polish politician who has been a Member of the European Parliament since 2019, and who previously served as Prime Minister of Poland from 2015 to 2017, as a member of the Law and Justice party. She was the third woman to hold the office, after Hanna Suchocka and her immediate predecessor Ewa Kopacz.","//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Premier_RP_Beata_Szyd%C5%82o_w_Parlamencie_UE.jpg/220px-Premier_RP_Beata_Szyd%C5%82o_w_Parlamencie_UE.jpg",""
"Tatiana Turanskaya","Transnistria","Prime Minister","30 November 2015","2 December 2015","2 days","Head of government","Tatiana Mikhailovna Turanskaya (Тетяна Михайлівна Туранська; born November 20, 1972 in Odessa, Ukrainian SSR) is a Transnistrian politician and was the Prime Minister of Transnistria until 13 October 2015. She replaced Pyotr Stepanov on 10 July 2013, after he had resigned to accept a new job. On August 7, 2013 she held a meeting with Deputy Chairman of the Economic Policy, Budget and Finance Committee of the Supreme Council Andrej Kotsubenko and member of the on Security, Defense and Peacekeeping Committee of the Supreme Council Yuri Horin at which she talked about governmental issues within Slobozia District.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%A2%D1%83%D1%80%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F.jpg/330px-%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%A2%D1%83%D1%80%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F.jpg",""
"Maya Parnas","Transnistria","Acting Prime Minister","2 December 2015","23 December 2015","21 days","Head of government","Maya Ivanovna Parnas (Russian: Майя Ивановна Парнас, Romanian: Maia Parnas; born 15 May 1974 in Tiraspol, Moldavian SSR) is a Transnistrian politician and was the former acting Prime Minister of Transnistria, temporarily replacing Tatiana Turanskaya, who was focusing on running in the 2015 elections.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/%D0%9C%D0%B0%D0%B9%D1%8F_%D0%9F%D0%B0%D1%80%D0%BD%D0%B0%D1%81.jpg/330px-%D0%9C%D0%B0%D0%B9%D1%8F_%D0%9F%D0%B0%D1%80%D0%BD%D0%B0%D1%81.jpg",""
"Hilda Heine","Marshall Islands","President","28 January 2016","Incumbent","3 years, 334 days","Head of state and government","Hilda Cathy Heine (born April 6, 1951) is a Marshallese educator and politician, who served as the eighth President of the Marshall Islands. Prior to assuming office, she served as the Minister of Education. She was the first individual in the Marshall Islands to earn a doctorate degree, and the founder of the women's rights group Women United Together Marshall Islands (WUTMI).","//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Hilda_Heine_20171030.jpg/220px-Hilda_Heine_20171030.jpg",""
"Aung San Suu Kyi","Myanmar","State Counsellor","6 April 2016","Incumbent","3 years, 266 days","de facto Head of government","Aung San Suu Kyi (/aʊŋˌsæn.suːˈtʃiː/; Burmese: .mw-parser-output .script-myanmar{font-family:""Myanmar Text"",Myanmar3,Myanmar2,Myanmar1,Padauk,""Noto Sans Myanmar"",mm3web,TharLon,""Masterpiece Uni Sans"",Parabaik,Yunghkio,Thanlwin,""Win Uni Innwa"",""MyMyanmar Unicode"",""WinUni Innwa""}အောင်ဆန်းစုကြည်; MLCTS: aung hcan: cu. krany Burmese pronunciation: [àʊɴ sʰáɴ sṵ tɕì]; born 19 June 1945) is a Burmese politician, diplomat, author, and Nobel Peace Prize laureate (1991). The first and incumbent State Counsellor (a position akin to a prime minister leader) of Myanmar, she is also the leader of the National League for Democracy and played a vital role in the state's transition from military junta to partial democracy. Of late, she has attracted considerable criticism for having enabled the state-perpetrated genocide of Rohingyas.","//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Remise_du_Prix_Sakharov_%C3%A0_Aung_San_Suu_Kyi_Strasbourg_22_octobre_2013-18.jpg/220px-Remise_du_Prix_Sakharov_%C3%A0_Aung_San_Suu_Kyi_Strasbourg_22_octobre_2013-18.jpg",""
"Tsai Ing-wen","Taiwan","President","20 May 2016","Incumbent","3 years, 222 days","Head of state","Tsai Ing-wen (Pe̍h-ōe-jī: Chhòa Eng-bûn, [t͡sʰua˧˩ ʔɪŋbun˨˦]; born 31 August 1956) is a Taiwanese politician and professor serving as the president of the Republic of China, commonly known as Taiwan, since 20 May 2016. The first woman to be elected to the office, Tsai is the seventh president of the Republic of China under the 1947 Constitution and the second president from the Democratic Progressive Party (DPP); part of Taiwan's Pan-Green Coalition. She is also the first president to be of both Hakka and aboriginal descent (a quarter Paiwan from her grandmother), the first unmarried president, the first to have never held an elected executive post before presidency and the first to be popularly elected without having previously served as the Mayor of Taipei. She was the Democratic Progressive Party candidate in the 2012 and 2016 presidential elections. Tsai previously served as party chair from 2008 to 2012, and from 2014 to 2018. She was re-elected for a second term on 11 January 2020 after emerging victorious in the presidential election. ","//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Signature_of_Tsai_Ing-wen_%28Vector%29.svg/104px-Signature_of_Tsai_Ing-wen_%28Vector%29.svg.png",""
"Doris Bures","Austria","Co-Acting President","8 July 2016","26 January 2017","202 days","Head of state","Doris Bures (born 3 August 1962) is an Austrian politician, member of the Social Democratic Party of Austria. She is the Second President of the Austrian National Council From September 2014 to November 2017, she was its President. From 2008 to 2014, she was the Austrian Federal Minister for infrastructure.","//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Doris_Bures_Er%C3%B6ffnung_Bahnhof_Sankt_P%C3%B6lten_2010.jpg/220px-Doris_Bures_Er%C3%B6ffnung_Bahnhof_Sankt_P%C3%B6lten_2010.jpg",""
"Theresa May","United Kingdom","Prime Minister","13 July 2016","24 July 2019","3 years, 11 days","Head of government","Theresa Mary May (/təˈriːzə/; née Brasier; born 1 October 1956) is a British politician who served as the Prime Minister of the United Kingdom and Leader of the Conservative Party from 2016 to 2019. May served as Home Secretary from 2010 to 2016 and has been a Member of Parliament (MP) for Maidenhead since 1997. Ideologically, she identifies herself as a one-nation conservative.","//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Theresa_May_official_portrait.jpg/220px-Theresa_May_official_portrait.jpg",""
"Kersti Kaljulaid","Estonia","President","10 October 2016","Incumbent","3 years, 79 days","Head of state","Kersti Kaljulaid (Estonian pronunciation: [ˈkers.ti ˈkɑl.juˈlɑi̯d]; born 30 December 1969) is an Estonian politician who is the fifth and current President of Estonia, in office since 10 October 2016. She is the first female head of state of Estonia since the country declared independence in 1918, as well as the youngest ever President, age 46 at the time of her election.","//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Kersti_Kaljulaid_-_2018_%28cropped%29.jpg/220px-Kersti_Kaljulaid_-_2018_%28cropped%29.jpg",""
"Ana Brnabić","Serbia","Prime Minister","29 June 2017","Incumbent","2 years, 182 days","Head of government","Ana Brnabić (Serbian Cyrillic: Ана Брнабић, pronounced [âna bř̩nabit͜ɕ]; born 28 September 1975) is a Serbian politician who has been the Prime Minister of Serbia since 29 June 2017. She is the first woman, first openly gay and first person with Croat ethnic descent to hold the office.","//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ana_Brnabic%2C_July_3%2C_2018.jpg/220px-Ana_Brnabic%2C_July_3%2C_2018.jpg",""
